NAME,GEOGRAPHY,MEDIAN_INC,MedianIncN,SUM_total_votes,SUM_proposition_37_yes_votes,Percent_Yes
Alameda,"Alameda County, California",79693,79693,601817,338137,0.5618601
Alpine,"Alpine County, California",73088,73088,656,416,0.6341463
Amador,"Amador County, California",53986,53986,17886,5893,0.3294756
Butte,"Butte County, California",44258,44258,91722,40488,0.4414208
Calaveras,"Calaveras County, California",55996,55996,22077,7772,0.3520406
Colusa,"Colusa County, California",55837,55837,6092,1681,0.2759356
Contra Costa,"Contra Costa County, California",82449,82449,441766,204388,0.4626612
Del Norte,"Del Norte County, California",40980,40980,8879,4911,0.5531029
El Dorado,"El Dorado County, California",70392,70392,89533,33237,0.3712263
Fresno,"Fresno County, California",50292,50292,261652,95617,0.3654358
Glenn,"Glenn County, California",43865,43865,9334,2810,0.3010499
Humboldt,"Humboldt County, California",41842,41842,58092,37321,0.6424465
Imperial,"Imperial County, California",42047,42047,39530,20891,0.5284847
Inyo,"Inyo County, California",49037,49037,8146,2925,0.3590719
Kern,"Kern County, California",49549,49549,223998,76592,0.3419316
Kings,"Kings County, California",48926,48926,32039,10132,0.3162396
Lake,"Lake County, California",39464,39464,23685,10337,0.4364366
Lassen,"Lassen County, California",51626,51626,10810,4417,0.4086031
Los Angeles,"Los Angeles County, California",62278,62278,3236316,1581093,0.4885472
Madera,"Madera County, California",48784,48784,40325,13936,0.3455921
Marin,"Marin County, California",97570,97570,135438,81246,0.599876
Mariposa,"Mariposa County, California",53395,53395,9102,3445,0.3784882
Mendocino,"Mendocino County, California",45376,45376,36080,21067,0.5838969
Merced,"Merced County, California",47334,47334,62804,23655,0.376648
Modoc,"Modoc County, California",38240,38240,4061,1200,0.2954937
Mono,"Mono County, California",63565,63565,5223,2839,0.5435573
Monterey,"Monterey County, California",61167,61167,124902,67334,0.5390946
Napa,"Napa County, California",68259,68259,57672,27162,0.4709738
Nevada,"Nevada County, California",58310,58310,52173,24380,0.4672915
Orange,"Orange County, California",79221,79221,1133203,449779,0.3969095
Placer,"Placer County, California",73633,73633,172757,61324,0.3549726
Plumas,"Plumas County, California",46032,46032,10146,3921,0.3864577
Riverside,"Riverside County, California",59054,59054,669611,272380,0.4067735
Sacramento,"Sacramento County, California",59873,59873,522045,215370,0.4125506
San Benito,"San Benito County, California",64764,64764,19249,8360,0.4343083
San Bernardino,"San Bernardino County, California",56547,56547,589514,235583,0.3996224
San Diego,"San Diego County, California",64253,64253,1201451,560294,0.4663478
San Francisco,"San Francisco County, California",89068,89068,364875,230657,0.6321535
San Joaquin,"San Joaquin County, California",56221,56221,206843,82948,0.4010191
San Luis Obispo,"San Luis Obispo County, California",60980,60980,126817,56964,0.4491827
San Mateo,"San Mateo County, California",88973,88973,288592,147022,0.5094458
Santa Barbara,"Santa Barbara County, California",64778,64778,164976,81383,0.493302
Santa Clara,"Santa Clara County, California",89564,89564,653235,326904,0.5004386
Santa Cruz,"Santa Cruz County, California",68772,68772,121320,78474,0.6468348
Shasta,"Shasta County, California",44888,44888,77178,29206,0.3784239
Sierra,"Sierra County, California",43011,43011,1767,696,0.3938879
Siskiyou,"Siskiyou County, California",39128,39128,20180,10042,0.4976214
Solano,"Solano County, California",71568,71568,153922,69613,0.4522615
Sonoma,"Sonoma County, California",64733,64733,218819,112585,0.514512
Stanislaus,"Stanislaus County, California",50686,50686,156935,61583,0.3924109
Sutter,"Sutter County, California",53182,53182,31300,9724,0.3106709
Tehama,"Tehama County, California",40762,40762,23260,7773,0.3341788
Trinity,"Trinity County, California",36050,36050,5814,2701,0.4645683
Tulare,"Tulare County, California",44586,44586,102180,33656,0.3293795
Tuolumne,"Tuolumne County, California",48811,48811,25153,10191,0.4051604
Ventura,"Ventura County, California",78672,78672,330418,143479,0.4342348
Yolo,"Yolo County, California",63036,63036,75313,31748,0.4215474
Yuba,"Yuba County, California",46684,46684,19973,7005,0.3507235
